2019 Federal Election Senate First Preferences By Group By Vote Type By State [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:32 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,LPNP,Liberal & Nationals,1546975,38.52,61374,31.16,6986,26.65,65366,36.00,129420,47.22,1810121,38.55
NSW,ALPC,Labor/Country Labor,1215954,30.27,57336,29.11,8801,33.57,49544,27.29,68660,25.05,1400295,29.82
NSW,LDP,Liberal Democrats,76623,1.91,4828,2.45,619,2.36,4122,2.27,3641,1.33,89833,1.91
NSW,GRN,The Greens,341002,8.49,25010,12.70,2618,9.99,22367,12.32,18793,6.86,409790,8.73
NSW,UAPP,United Australia Party,59359,1.48,3119,1.58,476,1.82,2807,1.55,4150,1.51,69911,1.49
NSW,AAHP,Affordable Housing Party,14181,0.35,1190,0.60,219,0.84,829,0.46,911,0.33,17330,0.37
NSW,AJP,Animal Justice Party,40240,1.00,2806,1.42,351,1.34,2066,1.14,3526,1.29,48989,1.04
NSW,ABFA,Australian Better Families,6420,0.16,401,0.20,105,0.40,306,0.17,318,0.12,7550,0.16
NSW,ACP,Australian Conservatives,20177,0.50,839,0.43,92,0.35,784,0.43,1260,0.46,23152,0.49
NSW,AUD,Australian Democrats,7246,0.18,345,0.18,26,0.10,396,0.22,722,0.26,8735,0.19
NSW,APEP,Australian People's Party,10609,0.26,476,0.24,87,0.33,373,0.21,386,0.14,11931,0.25
NSW,AWP,Australian Workers Party,6617,0.16,406,0.21,70,0.27,336,0.19,255,0.09,7684,0.16
NSW,CDP,Christian Democratic Party (Fred Nile Group),64463,1.60,3138,1.59,364,1.39,2737,1.51,4808,1.75,75510,1.61
NSW,CEC,Citizens Electoral Council,1256,0.03,67,0.03,10,0.04,52,0.03,93,0.03,1478,0.03
NSW,DLP,Democratic Labour Party,22400,0.56,1343,0.68,214,0.82,1194,0.66,1288,0.47,26439,0.56
NSW,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,15350,0.38,760,0.39,114,0.43,780,0.43,907,0.33,17911,0.38
NSW,HMP,Help End Marijuana Prohibition (HEMP) Party,82968,2.07,7443,3.78,1258,4.80,4346,2.39,3629,1.32,99644,2.12
NSW,NMP,Health Australia Party,19459,0.48,1265,0.64,247,0.94,1140,0.63,1070,0.39,23181,0.49
NSW,ICAN,Independents For Climate Action Now,22679,0.56,1258,0.64,149,0.57,1091,0.60,1557,0.57,26734,0.57
NSW,IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,4172,0.10,281,0.14,37,0.14,235,0.13,299,0.11,5024,0.11
NSW,SOL,Climate Action! Immigration Action! Accountable Politicians!,5369,0.13,360,0.18,48,0.18,317,0.17,323,0.12,6417,0.14
NSW,ON,Pauline Hanson's One Nation,200247,4.99,9092,4.62,1321,5.04,8601,4.74,13604,4.96,232865,4.96
NSW,PIR,Pirate Party,14074,0.35,948,0.48,130,0.50,743,0.41,992,0.36,16887,0.36
NSW,RUA,Rise Up Australia Party,28767,0.72,1832,0.93,462,1.76,1359,0.75,849,0.31,33269,0.71
NSW,FUT,Science Party,15499,0.39,1070,0.54,99,0.38,996,0.55,1308,0.48,18972,0.40
NSW,SUN,Seniors United Party of Australia,5743,0.14,141,0.07,29,0.11,215,0.12,871,0.32,6999,0.15
NSW,ASP,"Shooters, Fishers and Farmers",102475,2.55,5611,2.85,731,2.79,4869,2.68,5722,2.09,119408,2.54
NSW,SAL,Socialist Alliance,5124,0.13,313,0.16,50,0.19,299,0.16,272,0.10,6058,0.13
NSW,SEP,Socialist Equality Party,1728,0.04,148,0.08,15,0.06,112,0.06,97,0.04,2100,0.04
NSW,SPP,Sustainable Australia,16531,0.41,1023,0.52,90,0.34,1033,0.57,1558,0.57,20235,0.43
NSW,GAP,The Great Australian Party,6847,0.17,356,0.18,79,0.30,313,0.17,285,0.10,7880,0.17
NSW,TSBP,The Small Business Party,11836,0.29,871,0.44,106,0.40,649,0.36,755,0.28,14217,0.30
NSW,TTP,The Together Party,5307,0.13,284,0.14,46,0.18,219,0.12,271,0.10,6127,0.13
NSW,TWP,The Women's Party,13771,0.34,906,0.46,121,0.46,682,0.38,981,0.36,16461,0.35
NSW,FLUX,VOTEFLUX.ORG | Upgrade Democracy!,2893,0.07,223,0.11,29,0.11,203,0.11,214,0.08,3562,0.08
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,2138,0.05,111,0.06,14,0.05,96,0.05,268,0.10,2627,0.06
VIC,LPNP,LIBERAL/THE NATIONALS,1076706,35.91,47733,28.74,5532,26.68,61187,34.00,151204,40.37,1342362,35.90
VIC,ALP,Australian Labor Party,941696,31.41,49813,29.99,6778,32.68,51991,28.89,113575,30.32,1163853,31.12
VIC,GRN,The Greens (VIC),310526,10.36,28521,17.17,2477,11.94,25450,14.14,30159,8.05,397133,10.62
VIC,DHJP,Derryn Hinch's Justice Party,83995,2.80,3319,2.00,427,2.06,4020,2.23,13698,3.66,105459,2.82
VIC,AJP,Animal Justice Party,43388,1.45,3467,2.09,451,2.17,3150,1.75,6831,1.82,57287,1.53
VIC,ACP,Australian Conservatives,20770,0.69,634,0.38,85,0.41,819,0.46,2135,0.57,24443,0.65
VIC,AUD,Australian Democrats,7834,0.26,447,0.27,69,0.33,504,0.28,906,0.24,9760,0.26
VIC,ALA,Yellow Vest Australia,1752,0.06,113,0.07,19,0.09,109,0.06,236,0.06,2229,0.06
VIC,AWP,Australian Workers Party,8701,0.29,563,0.34,91,0.44,571,0.32,784,0.21,10710,0.29
VIC,CDP,Christian Democratic Party (Fred Nile Group),15098,0.50,802,0.48,130,0.63,940,0.52,1821,0.49,18791,0.50
VIC,CEC,Citizens Electoral Council,2659,0.09,158,0.10,35,0.17,160,0.09,239,0.06,3251,0.09
VIC,DLP,Labour DLP,79813,2.66,4466,2.69,888,4.28,4561,2.53,4992,1.33,94720,2.53
VIC,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,13254,0.44,727,0.44,118,0.57,749,0.42,1737,0.46,16585,0.44
VIC,HMP,Help End Marijuana Prohibition (HEMP) Party,43368,1.45,4529,2.73,662,3.19,3116,1.73,4442,1.19,56117,1.50
VIC,NMP,Health Australia Party,10014,0.33,688,0.41,111,0.54,737,0.41,1349,0.36,12899,0.34
VIC,ICAN,Independents For Climate Action Now,11921,0.40,954,0.57,81,0.39,861,0.48,1366,0.36,15183,0.41
VIC,LDP,Liberal Democrats,29159,0.97,1805,1.09,272,1.31,2008,1.12,2475,0.66,35719,0.96
VIC,SOL,Climate Action! Immigration Action! Accountable Politicians!,9716,0.32,806,0.49,111,0.54,710,0.39,1020,0.27,12363,0.33
VIC,ON,Pauline Hanson's One Nation,85543,2.85,4064,2.45,593,2.86,4917,2.73,11625,3.10,106742,2.85
VIC,PIR,Pirate Party,11634,0.39,958,0.58,115,0.55,774,0.43,1562,0.42,15043,0.40
VIC,RPA,Republican Party of Australia,6350,0.21,389,0.23,77,0.37,425,0.24,521,0.14,7762,0.21
