2016 Federal Election Senate Party Representation [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:28 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
PartyAb,Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,TOTAL
LPNP,Liberal/Nationals,5,5,0,0,0,0,0,0,10
LNP,Liberal National Party,0,0,5,0,0,0,0,0,5
LP,Liberal,0,0,0,5,4,4,1,0,14
CLP,Country Liberals (NT),0,0,0,0,0,0,0,1,1
ALP,Australian Labor Party,4,4,4,4,3,5,1,1,26
GRN,The Greens,1,2,1,2,1,2,0,0,9
LDP,Liberal Democrats (LDP),1,0,0,0,0,0,0,0,1
XEN,Nick Xenophon Team,0,0,0,0,3,0,0,0,3
FFP,Family First,0,0,0,0,1,0,0,0,1
JLN,Jacqui Lambie Network,0,0,0,0,0,1,0,0,1
ON,Pauline Hanson's One Nation,1,0,2,1,0,0,0,0,4
DHJP,Derryn Hinch's Justice Party,0,1,0,0,0,0,0,0,1
