"","Respondent_ID_2016","year","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"1","1000407","2019","Undergraduate","Female",75,"Australia","No Religion","Middle","Major City","45,001-50,000","2607"
"2","1003423","2019","Undergraduate","Male",69,"NESB","No Religion","Middle","Major City","50,001-60,000","2617"
"3","1006956","2019","Non-Trade","Male",50,"Australia","Roman Catholic","Middle","Major City","90,001-100,000","2602"
"4","1008963","2019","Bachelor","Female",49,"Australia","No Religion","Middle","Major City","160,001-180,000","2602"
"5","1009513","2019","Trade","Male",84,"Australia","Presbyterian","Working","Major City","10,001-15,000","2609"
"6","1015480","2019","Non-Trade","Male",73,"Australia","No Religion","Middle","Major City",">180,000","2602"
"7","1017262","2019","No Qualification","Female",37,"Australia","No Religion","Middle","Major City","140,001-150,000","2904"
"8","1017790","2019","No Qualification","Female",71,"Australia","Anglican","None","Major City","90,001-100,000","2914"
"9","1017845","2019","Bachelor","Female",37,"Australia","No Religion","Middle","Major City","160,001-180,000","2617"
"10","1023339","2019","Trade","Male",45,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2614"
"11","1024979","2019","No Qualification","Female",32,"Australia","Christian Other","Upper","Major City",">180,000","2609"
"12","1027502","2019","Postgraduate","Female",48,"Australia","Anglican","Working","Major City","150,001-160,000","2604"
"13","1027706","2019","Bachelor","Female",31,"Australia","No Religion","Middle","Major City",">180,000","2617"
"14","1033013","2019","Associate Diploma","Female",62,"ESB","Non-Christian Other","None","Small Country Town","50,001-60,000","861"
"15","1057519","2019","Bachelor","Male",70,"Australia","No Religion","Middle","Major City","130,001-140,000","2226"
"16","1059165","2019","Postgraduate","Male",85,"Australia","Roman Catholic","Middle","Major City","40,001-45,000","2070"
"17","1066261","2019","Trade","Male",84,"Australia","Methodist","Working","Rural","<10,000","2747"
"18","1078767","2019","No Qualification","Female",65,"Australia","Roman Catholic","Working","Major City","30,001-35,000","2048"
"19","1079868","2019","Postgraduate","Female",73,"Australia","No Religion","Middle","Major City","30,001-35,000","2226"
"20","1081058","2019","Non-Trade","Female",79,"Australia","Roman Catholic","Working","Major City","35,001-40,000","2120"
"21","1082118","2019","Undergraduate","Female",61,"Australia","Anglican","Middle","Major City",">180,000","2283"
"22","1083397","2019","No Qualification","Male",72,"Australia","Roman Catholic","None","Rural","45,001-50,000","2210"
"23","1091480","2019","No Qualification","Male",57,"Australia","Anglican","Middle","Major City","70,001-80,000","2212"
"24","1091741","2019","No Qualification","Female",65,"Australia","Roman Catholic","Working","Large Town","100,001-110,000","2518"
"25","1092276","2019","Undergraduate","Female",60,"Australia","Anglican","Middle","Major City",">180,000","2135"
"26","1095056","2019","Associate Diploma","Male",76,"NESB","Roman Catholic","Middle","Major City","30,001-35,000","2761"
"27","1097096","2019","Non-Trade","Female",78,"Australia","Roman Catholic","Middle","Major City","40,001-45,000","2156"
"28","1097808","2019","Postgraduate","Female",67,"Australia","Roman Catholic","Middle","Small Country Town","80,001-90,000","2428"
"29","1102794","2019","Trade","Male",54,"Australia","Anglican","Middle","Large Town","<10,000","2529"
"30","1103514","2019","Bachelor","Male",72,"NESB","Orthodox","Working","Major City","30,001-35,000","2206"
"31","1104798","2019","Associate Diploma","Female",58,"Australia","No Religion","Middle","Major City","70,001-80,000","2193"
"32","1116861","2019","Associate Diploma","Male",52,"Australia","Roman Catholic","Working","Rural",">180,000","2847"
"33","1117068","2019","No Qualification","Female",64,"Australia","Christian","Middle","Major City","50,001-60,000","2148"
"34","1122863","2019","Trade","Female",67,"Australia","Other","Middle","Large Country Town","120,001-130,000","2541"
"35","1125108","2019","Trade","Male",59,"Australia","No Religion","Middle","Large Country Town","45,001-50,000","2641"
"36","1127625","2019","Associate Diploma","Male",65,"Australia","Anglican","Working","Major City","90,001-100,000","2153"
"37","1127634","2019","No Qualification","Female",62,"ESB","Anglican","Middle","Major City","45,001-50,000","2203"
"38","1130303","2019","Postgraduate","Male",79,"Australia","Baptist","Middle","Large Country Town","160,001-180,000","2430"
