"","year","Respondent_ID_2016","vote_house","importance_taxation","importance_immigration","importance_education","importance_environment","importance_debt","importance_health","importance_refugees","importance_climate","importance_superannuation","importance_economy","party_taxation","party_immigration","party_education","party_environment","party_debt","party_health","party_refugees","party_climate","party_superannuation","party_economy","issue_importance","issue_importance2","secondpref"
"1","2016","1009513","Liberal","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Debt","Climate",NA
"2","2016","1023339","Liberal","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Debt","Economy",NA
"3","2016","1091741","Liberal","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Health","Superannuation",NA
"4","2016","1092276","Liberal","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","No Difference","No Difference","Labor","No Difference","Liberal","No Difference","No Difference","No Difference","Liberal","Liberal","Economy","Superannuation",NA
"5","2016","1102794","Liberal","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","No Difference","Liberal","Debt","Economy",NA
"6","2016","1103514","Liberal","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Labor","Liberal","Liberal","Liberal","Liberal","Labor","Liberal","Liberal","Labor","Liberal","Education","Health",NA
"7","2016","1105476","Liberal","Quite Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Economy","Health",NA
"8","2016","1116861","Liberal","Quite Important","Not Very Important","Quite Important","Not Very Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Liberal","No Difference","Labor","No Difference","Liberal","Labor","No Difference","No Difference","No Difference","Liberal","Superannuation","Health",NA
"9","2016","1118330","Liberal","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","No Difference","Liberal","Labor","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Health","Superannuation",NA
"10","2016","1127625","Liberal","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","No Difference","No Difference","Liberal","No Difference","No Difference","No Difference","Superannuation","Economy",NA
"11","2016","1130303","National","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","No Difference","Liberal","Liberal","Liberal","Liberal","No Difference","Liberal","No Difference","Liberal","Economy","Immigration",NA
"12","2016","1132313","Liberal","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Debt","Refugees",NA
