"","postcode","locality","state","lat","long","frequency","Population"
"1","2007","BROADWAY","NSW",-33.883189,151.19665,4,7111
"2","2007","ULTIMO","NSW",-33.883189,151.19665,4,7111
"3","2008","DARLINGTON","NSW",-33.891146,151.193858,2,6296
"4","2008","CHIPPENDALE","NSW",-33.891146,151.193858,2,6296
"5","2008","GOLDEN GROVE","NSW",-33.891146,151.193858,2,6296
"6","2010","TAYLOR SQUARE","NSW",-33.884119,151.212262,2,25404
"7","2010","DARLINGHURST","NSW",-33.884119,151.212262,2,25404
"8","2010","SURRY HILLS","NSW",-33.884119,151.212262,2,25404
"9","2011","WOOLLOOMOOLOO","NSW",-33.873599,151.221626,4,18040
"10","2011","POTTS POINT","NSW",-33.873599,151.221626,4,18040
"11","2011","HMAS KUTTABUL","NSW",-33.873599,151.221626,4,18040
"12","2011","RUSHCUTTERS BAY","NSW",-33.873599,151.221626,4,18040
"13","2011","KINGS CROSS","NSW",-33.873599,151.221626,4,18040
"14","2011","ELIZABETH BAY","NSW",-33.873599,151.221626,4,18040
"15","2017","WATERLOO","NSW",-33.903892,151.206316,2,14469
"16","2017","WATERLOO DC","NSW",0,0,2,14469
"17","2017","ZETLAND","NSW",-33.903892,151.206316,2,14469
"18","2024","WAVERLEY","NSW",-33.904414,151.259392,2,11078
"19","2024","BRONTE","NSW",-33.904414,151.259392,2,11078
"20","2024","CHARING CROSS","NSW",-33.904414,151.259392,2,11078
"21","2026","BONDI BEACH","NSW",-33.891041,151.268968,2,30396
"22","2026","BONDI","NSW",-33.891041,151.268968,2,30396
"23","2026","NORTH BONDI","NSW",-33.891041,151.268968,2,30396
"24","2026","BEN BUCKLER","NSW",-33.891041,151.268968,2,30396
"25","2026","TAMARAMA","NSW",-33.891041,151.268968,2,30396
"26","2029","ROSE BAY","NSW",-33.875709,151.266989,2,9400
"27","2031","CLOVELLY","NSW",-33.914832,151.239167,2,32321
"28","2031","ST PAULS","NSW",-33.914832,151.239167,2,32321
"29","2031","RANDWICK DC","NSW",0,0,2,32321
"30","2031","RANDWICK","NSW",-33.914832,151.239167,2,32321
"31","2031","CLOVELLY WEST","NSW",-33.914832,151.239167,2,32321
"32","2035","MAROUBRA SOUTH","NSW",-33.945635,151.241292,1,33234
"33","2035","PAGEWOOD","NSW",-33.945635,151.241292,1,33234
"34","2035","MAROUBRA","NSW",-33.945635,151.241292,1,33234
