"","Respondent_ID_2016","year","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"1","1000407","2016","Associate Diploma","Female",72,"Australia","No Religion","Middle","Major City","60,001-70,000","2607"
"2","1000407","2019","Undergraduate","Female",75,"Australia","No Religion","Middle","Major City","45,001-50,000","2607"
"3","1003423","2016","Undergraduate","Male",66,"NESB","No Religion","Middle","Major City","60,001-70,000","2617"
"4","1003423","2019","Undergraduate","Male",69,"NESB","No Religion","Middle","Major City","50,001-60,000","2617"
"6","1005902","2016","No Qualification","Female",75,"Australia","Roman Catholic","Middle","Major City","30,001-35,000","2905"
"7","1006956","2019","Non-Trade","Male",50,"Australia","Roman Catholic","Middle","Major City","90,001-100,000","2602"
"8","1006956","2016","Non-Trade","Male",47,"Australia","Roman Catholic","Middle","Major City","70,001-80,000","2602"
"9","1008963","2016","Bachelor","Female",46,"Australia","No Religion","Middle","Major City","150,001-160,000","2602"
"10","1008963","2019","Bachelor","Female",49,"Australia","No Religion","Middle","Major City","160,001-180,000","2602"
"11","1009513","2016","Trade","Male",81,"Australia","Presbyterian","Working","Major City","15,001-20,000","2609"
"12","1009513","2019","Trade","Male",84,"Australia","Presbyterian","Working","Major City","10,001-15,000","2609"
"13","1015480","2019","Non-Trade","Male",73,"Australia","No Religion","Middle","Major City",">180,000","2602"
"14","1015480","2016","Non-Trade","Male",70,"Australia","No Religion","Middle","Major City",">180,000","2602"
"15","1017262","2019","No Qualification","Female",37,"Australia","No Religion","Middle","Major City","140,001-150,000","2904"
"16","1017262","2016","No Qualification","Female",34,"Australia","Anglican","None","Major City","100,001-110,000","2904"
"17","1017790","2019","No Qualification","Female",71,"Australia","Anglican","None","Major City","90,001-100,000","2914"
"18","1017790","2016","No Qualification","Female",68,"Australia","Anglican","Middle","Major City","90,001-100,000","2914"
"19","1017845","2019","Bachelor","Female",37,"Australia","No Religion","Middle","Major City","160,001-180,000","2617"
"20","1017845","2016","Bachelor","Female",34,"Australia","No Religion","Middle","Major City","160,001-180,000","2617"
"21","1023339","2019","Trade","Male",45,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2614"
"22","1023339","2016","Trade","Male",42,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2614"
"23","1024979","2019","No Qualification","Female",32,"Australia","Christian Other","Upper","Major City",">180,000","2609"
"24","1024979","2016","No Qualification","Female",29,"Australia","Christian Other","Middle","Major City","160,001-180,000","2609"
"25","1027502","2019","Postgraduate","Female",48,"Australia","Anglican","Working","Major City","150,001-160,000","2604"
"26","1027502","2016","Postgraduate","Female",45,"Australia","Anglican","Middle","Major City","160,001-180,000","2604"
"27","1027706","2019","Bachelor","Female",31,"Australia","No Religion","Middle","Major City",">180,000","2617"
"29","1033013","2016","Associate Diploma","Female",59,"ESB","Non-Christian Other","Middle","Rural","50,001-60,000","861"
"30","1033013","2019","Associate Diploma","Female",62,"ESB","Non-Christian Other","None","Small Country Town","50,001-60,000","861"
"31","1057519","2019","Bachelor","Male",70,"Australia","No Religion","Middle","Major City","130,001-140,000","2226"
"32","1057519","2016","Bachelor","Male",67,"Australia","No Religion","None","Major City","160,001-180,000","2226"
"33","1059165","2019","Postgraduate","Male",85,"Australia","Roman Catholic","Middle","Major City","40,001-45,000","2070"
"34","1059165","2016","Postgraduate","Male",82,"Australia","Roman Catholic","Middle","Major City","70,001-80,000","2070"
"35","1066261","2019","Trade","Male",84,"Australia","Methodist","Working","Rural","<10,000","2747"
"36","1066261","2016","Trade","Male",81,"Australia","Methodist","Working","Large Town","35,001-40,000","2747"
"37","1078767","2016","Non-Trade","Female",62,"Australia","Roman Catholic","Working","Major City","25,001-30,000","2048"
"38","1078767","2019","No Qualification","Female",65,"Australia","Roman Catholic","Working","Major City","30,001-35,000","2048"
"39","1079868","2019","Postgraduate","Female",73,"Australia","No Religion","Middle","Major City","30,001-35,000","2226"
"40","1079868","2016","Postgraduate","Female",70,"Australia","No Religion","Middle","Major City","50,001-60,000","2226"
"41","1081058","2019","Non-Trade","Female",79,"Australia","Roman Catholic","Working","Major City","35,001-40,000","2120"
"42","1081058","2016","No Qualification","Female",76,"Australia","Roman Catholic","Working","Major City","60,001-70,000","2120"
"43","1082118","2019","Undergraduate","Female",61,"Australia","Anglican","Middle","Major City",">180,000","2283"
"44","1082118","2016","Bachelor","Female",58,"Australia","Anglican","Middle","Major City",">180,000","2283"
"45","1083397","2019","No Qualification","Male",72,"Australia","Roman Catholic","None","Rural","45,001-50,000","2210"
"46","1083397","2016","No Qualification","Male",69,"Australia","Roman Catholic","Working","Major City","50,001-60,000","2210"
"47","1091480","2019","No Qualification","Male",57,"Australia","Anglican","Middle","Major City","70,001-80,000","2212"
"48","1091480","2016","No Qualification","Male",54,"Australia","Anglican","Middle","Major City","60,001-70,000","2212"
"49","1091741","2019","No Qualification","Female",65,"Australia","Roman Catholic","Working","Large Town","100,001-110,000","2518"
"50","1091741","2016","Non-Trade","Female",62,"Australia","Roman Catholic","Working","Major City","30,001-35,000","2518"
"51","1092276","2019","Undergraduate","Female",60,"Australia","Anglican","Middle","Major City",">180,000","2135"
"52","1092276","2016","Undergraduate","Female",57,"Australia","Anglican","None","Major City",">180,000","2135"
"53","1095056","2019","Associate Diploma","Male",76,"NESB","Roman Catholic","Middle","Major City","30,001-35,000","2761"
"54","1095056","2016","Associate Diploma","Male",73,"NESB","Roman Catholic","Middle","Large Town","15,001-20,000","2761"
"55","1097096","2016","No Qualification","Female",75,"Australia","Roman Catholic","Working","Major City","35,001-40,000","2156"
"56","1097096","2019","Non-Trade","Female",78,"Australia","Roman Catholic","Middle","Major City","40,001-45,000","2156"
"57","1097808","2019","Postgraduate","Female",67,"Australia","Roman Catholic","Middle","Small Country Town","80,001-90,000","2428"
"58","1097808","2016","Postgraduate","Female",64,"Australia","Roman Catholic","Middle","Large Country Town","120,001-130,000","2428"
"59","1102794","2019","Trade","Male",54,"Australia","Anglican","Middle","Large Town","<10,000","2529"
"60","1102794","2016","Trade","Male",51,"Australia","Anglican","Working","Large Town","<10,000","2529"
"61","1103514","2019","Bachelor","Male",72,"NESB","Orthodox","Working","Major City","30,001-35,000","2206"
"62","1103514","2016","Bachelor","Male",69,"NESB","Orthodox","Middle","Major City","15,001-20,000","2206"
"63","1104798","2016","Undergraduate","Female",55,"Australia","No Religion","Middle","Major City","150,001-160,000","2193"
"64","1104798","2019","Associate Diploma","Female",58,"Australia","No Religion","Middle","Major City","70,001-80,000","2193"
"66","1105476","2016","Trade","Female",92,"Australia","Methodist","Working","Rural","100,001-110,000","2707"
"69","1116861","2019","Associate Diploma","Male",52,"Australia","Roman Catholic","Working","Rural",">180,000","2847"
"70","1116861","2016","Associate Diploma","Male",49,"Australia","Roman Catholic","Working","Rural","160,001-180,000","2847"
"71","1117068","2019","No Qualification","Female",64,"Australia","Christian","Middle","Major City","50,001-60,000","2148"
"72","1117068","2016","No Qualification","Female",61,"Australia","Anglican","Middle","Major City","45,001-50,000","2148"
"74","1118330","2016","Trade","Female",74,"Australia","No Religion","Working","Large Town","25,001-30,000","2526"
"75","1122863","2019","Trade","Female",67,"Australia","Other","Middle","Large Country Town","120,001-130,000","2541"
"76","1122863","2016","Non-Trade","Female",64,"Australia","Non-Christian Other","Middle","Large Country Town","130,001-140,000","2541"
"77","1125108","2019","Trade","Male",59,"Australia","No Religion","Middle","Large Country Town","45,001-50,000","2641"
"78","1125108","2016","Non-Trade","Male",56,"Australia","No Religion","Middle","Large Town","90,001-100,000","2641"
"79","1127625","2019","Associate Diploma","Male",65,"Australia","Anglican","Working","Major City","90,001-100,000","2153"
"80","1127625","2016","Associate Diploma","Male",62,"Australia","Anglican","Working","Major City","90,001-100,000","2153"
"81","1127634","2016","No Qualification","Female",59,"ESB","Anglican","Middle","Major City","90,001-100,000","2203"
"82","1127634","2019","No Qualification","Female",62,"ESB","Anglican","Middle","Major City","45,001-50,000","2203"
"83","1130303","2016","Postgraduate","Male",76,"Australia","Baptist","Middle","Large Country Town","90,001-100,000","2430"
"84","1130303","2019","Postgraduate","Male",79,"Australia","Baptist","Middle","Large Country Town","160,001-180,000","2430"
"85","1132308","2019","Bachelor","Female",59,"Australia","Roman Catholic","Working","Small Country Town","45,001-50,000","2464"
"86","1132308","2016","Undergraduate","Female",56,"Australia","Roman Catholic","Working","Small Country Town","80,001-90,000","2464"
"87","1132313","2019","Trade","Male",76,"Australia","Anglican","Working","Major City","50,001-60,000","2210"
"88","1132313","2016","Associate Diploma","Male",73,"Australia","Anglican","Working","Major City","40,001-45,000","2210"
"90","1140155","2019","No Qualification","Female",65,"Australia","Roman Catholic","Working","Small Country Town","10,001-15,000","2334"
"91","1140622","2016","No Qualification","Female",47,"Australia","Roman Catholic","Working","Large Town","70,001-80,000","2650"
"92","1140622","2019","No Qualification","Female",50,"Australia","Roman Catholic","Working","Large Town","130,001-140,000","2650"
"93","1146530","2019","Trade","Male",57,"Australia","Christian","Working","Large Country Town","45,001-50,000","2280"
"94","1146530","2016","Trade","Male",54,"Australia","Baptist","Working","Large Town","70,001-80,000","2280"
"95","1154658","2019","Postgraduate","Male",72,"Australia","Christian","Middle","Major City","60,001-70,000","2126"
"97","1157602","2019","Trade","Male",44,"Australia","Baptist","Working","Rural","30,001-35,000","2420"
"98","1157602","2016","Trade","Male",41,"Australia","Baptist","Working","Rural","80,001-90,000","2420"
"99","1164353","2019","Bachelor","Male",53,"Australia","Roman Catholic","Middle","Major City",">180,000","2280"
"100","1164353","2016","Non-Trade","Male",50,"Australia","Roman Catholic","Middle","Major City",">180,000","2280"
"101","1165893","2019","Undergraduate","Male",59,"Australia","Roman Catholic","None","Major City","100,001-110,000","2036"
"102","1165893","2016","Associate Diploma","Male",56,"Australia","Roman Catholic","None","Major City","90,001-100,000","2036"
"104","1166552","2016","Associate Diploma","Female",63,"Australia","No Religion","None","Large Town","20,001-25,000","2444"
"105","1175588","2019","Bachelor","Female",67,"NESB","Roman Catholic","Working","Major City","90,001-100,000","2042"
