"","year","Respondent_ID_2016","vote_house","importance_taxation","importance_immigration","importance_education","importance_environment","importance_debt","importance_health","importance_refugees","importance_climate","importance_superannuation","importance_economy","party_taxation","party_immigration","party_education","party_environment","party_debt","party_health","party_refugees","party_climate","party_superannuation","party_economy","issue_importance","issue_importance2","secondpref"
"1","2016","1000407","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","No Difference","Health","Education",NA
"2","2016","1003423","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","Labor","Education","Taxation",NA
"3","2016","1006956","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","No Difference","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Superannuation","Immigration",NA
"4","2016","1009513","Liberal","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Debt","Climate",NA
"5","2016","1017790","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Economy","Climate",NA
"6","2016","1023339","Liberal","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Debt","Economy",NA
"7","2016","1057519","Greens","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Liberal","Labor","Environment","Education","Labor"
"8","2016","1066261","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Labor","Labor","Liberal","Labor","Labor","Liberal","Liberal","Labor","Refugees","Health",NA
"9","2016","1079868","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Labor","No Difference","Environment","Refugees","Labor"
"10","2016","1081058","Greens","Quite Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","Labor","No Difference","Environment","Education","Coalition"
"11","2016","1083397","Independent","Quite Important","Quite Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Labor","No Difference","Labor","Liberal","Labor","Labor","No Difference","Labor","Labor","Labor","Taxation","Superannuation","Labor"
"12","2016","1091480","Labor","Extremely Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Superannuation","Debt",NA
"13","2016","1091741","Liberal","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Health","Superannuation",NA
"14","2016","1092276","Liberal","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","No Difference","No Difference","Labor","No Difference","Liberal","No Difference","No Difference","No Difference","Liberal","Liberal","Economy","Superannuation",NA
"15","2016","1095056","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","Labor","Labor","No Difference","No Difference","Labor","Labor","No Difference","No Difference","No Difference","Health","Economy",NA
"16","2016","1102794","Liberal","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","No Difference","Liberal","Debt","Economy",NA
"17","2016","1103514","Liberal","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Extremely Important","Labor","Liberal","Liberal","Liberal","Liberal","Labor","Liberal","Liberal","Labor","Liberal","Education","Health",NA
"18","2016","1104798","Greens","Extremely Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Refugees","Education","Labor"
"19","2016","1105476","Liberal","Quite Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Economy","Health",NA
"20","2016","1116861","Liberal","Quite Important","Not Very Important","Quite Important","Not Very Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Liberal","No Difference","Labor","No Difference","Liberal","Labor","No Difference","No Difference","No Difference","Liberal","Superannuation","Health",NA
"21","2016","1118330","Liberal","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","No Difference","Liberal","Labor","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Health","Superannuation",NA
"22","2016","1122863","Greens","Quite Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Environment","Climate","Labor"
"23","2016","1127625","Liberal","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","No Difference","No Difference","Liberal","No Difference","No Difference","No Difference","Superannuation","Economy",NA
"24","2016","1130303","National","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","No Difference","Liberal","Liberal","Liberal","Liberal","No Difference","Liberal","No Difference","Liberal","Economy","Immigration",NA
"25","2016","1132308","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Labor","Labor","Labor","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","Health","Economy",NA
"26","2016","1132313","Liberal","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Debt","Refugees",NA
"27","2016","1146530","Christian Democratic","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","No Difference","Liberal","Liberal","Liberal","No Difference","No Difference","Liberal","Economy","Climate","Coalition"
"28","2016","1164353","Liberal","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Education","Superannuation",NA
"29","2016","1175588","Greens","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Liberal","Labor","Liberal","Labor","Liberal","Labor","Labor","No Difference","No Difference","No Difference","Education","Health",NA
"30","2016","1179941","Labor","Not Very Important","Not Very Important","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Environment",NA
"31","2016","1190841","Greens","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Liberal","Labor","Economy","Superannuation","Labor"
"32","2016","1192099","Labor","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","Labor","No Difference","Superannuation","Refugees",NA
"33","2016","1195872","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA
"34","2016","1199293","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","Health","Refugees",NA
"35","2016","1202010","National","Not Very Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","No Difference","Liberal","No Difference","No Difference","Liberal","No Difference","No Difference","Liberal","Health","Refugees",NA
"36","2016","1202142","Greens","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Taxation","Debt","Labor"
"37","2016","1234096","Labor","Quite Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Superannuation",NA
"38","2016","1239458","Liberal","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Liberal","Liberal","Liberal","Labor","Liberal","No Difference","Liberal","Labor","No Difference","Liberal","Taxation","Debt",NA
"39","2016","1240935","Christian Democratic","Not Very Important","Quite Important","Not Very Important","Quite Important","Not Very Important","Not Very Important","Extremely Important","Quite Important","Quite Important","Quite Important","No Difference","Liberal","No Difference","Labor","Liberal","No Difference","No Difference","Labor","Labor","No Difference","Refugees","Superannuation","Coalition"
"40","2016","1242126","Labor","Quite Important","Not Very Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Liberal","No Difference","Labor","Liberal","Liberal","Labor","No Difference","Labor","Labor","Liberal","Environment","Education","Labor"
"41","2016","1243597","Greens","Extremely Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","No Difference","No Difference","Economy","Climate","Labor"
"42","2016","1267732","Greens","Not Very Important","Quite Important","Quite Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Environment","Climate","Labor"
"43","2016","1275150","Labor","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Education","Health",NA
"44","2016","1287168","Liberal","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Economy","Superannuation",NA
"45","2016","1287968","Liberal","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Refugees","Immigration",NA
"46","2016","1298569","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Health","Education",NA
"47","2016","1302095","Independent","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Liberal","No Difference","No Difference","No Difference","No Difference","Labor","Labor","Liberal","No Difference","Liberal","Health","Immigration",NA
"48","2016","1308432","Liberal","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Debt","Health",NA
"49","2016","1317792","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Education","Economy","Labor"
"50","2016","1321638","Greens","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","No Difference","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","Education","Economy","Labor"
"51","2016","1341328","Liberal","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","No Difference","Liberal","Liberal","No Difference","Liberal","No Difference","Liberal","No Difference","Labor","Liberal","Debt","Economy",NA
"52","2016","1346571","Liberal","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Economy","Debt",NA
"53","2016","1347731","National","Quite Important","Extremely Important","Quite Important","Not Very Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Economy","Debt",NA
"54","2016","1349433","Liberal","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Liberal","No Difference","Liberal","No Difference","Liberal","Liberal","No Difference","No Difference","Liberal","Liberal","Economy","Debt",NA
"55","2016","1350392","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","Labor","Labor","Health","Education",NA
"56","2016","1362025","Liberal","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","Labor","Labor","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Taxation","Superannuation",NA
"57","2016","1369316","Liberal","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Superannuation","Debt",NA
"58","2016","1375254","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Not Very Important","Not Very Important","Quite Important","Quite Important","No Difference","No Difference","Liberal","Labor","Liberal","Labor","No Difference","No Difference","Liberal","No Difference","Health","Taxation",NA
"59","2016","1388647","Liberal","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Economy","Superannuation",NA
