"","Respondent_ID_2016","year","vote_house","importance_taxation","importance_immigration","importance_education","importance_environment","importance_debt","importance_health","importance_refugees","importance_climate","importance_superannuation","importance_economy","party_taxation","party_immigration","party_education","party_environment","party_debt","party_health","party_refugees","party_climate","party_superannuation","party_economy","issue_importance","issue_importance2","secondpref","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"1","1000407","2016","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","No Difference","Health","Education",NA,"Associate Diploma","Female",72,"Australia","No Religion","Middle","Major City","60,001-70,000","2607"
"2","1000407","2019","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","Refugees","Climate",NA,"Undergraduate","Female",75,"Australia","No Religion","Middle","Major City","45,001-50,000","2607"
"3","1003423","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","Labor","Education","Taxation",NA,"Undergraduate","Male",66,"NESB","No Religion","Middle","Major City","60,001-70,000","2617"
"4","1006956","2016","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","No Difference","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Superannuation","Immigration",NA,"Non-Trade","Male",47,"Australia","Roman Catholic","Middle","Major City","70,001-80,000","2602"
"5","1006956","2019","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Labor","Labor","No Difference","No Difference","No Difference","Labor","Labor","Labor","Labor","Labor","Environment","Health",NA,"Non-Trade","Male",50,"Australia","Roman Catholic","Middle","Major City","90,001-100,000","2602"
"6","1008963","2019","Greens","Extremely Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Environment","Labor","Bachelor","Female",49,"Australia","No Religion","Middle","Major City","160,001-180,000","2602"
"7","1009513","2016","Liberal","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Not Very Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Debt","Climate",NA,"Trade","Male",81,"Australia","Presbyterian","Working","Major City","15,001-20,000","2609"
"8","1015480","2019","Liberal","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","No Difference","Labor","No Difference","No Difference","Liberal","Labor","Liberal","Liberal","Superannuation","Economy",NA,"Non-Trade","Male",73,"Australia","No Religion","Middle","Major City",">180,000","2602"
"9","1017262","2019","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","No Difference","Health","Climate",NA,"No Qualification","Female",37,"Australia","No Religion","Middle","Major City","140,001-150,000","2904"
"10","1017790","2016","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Economy","Climate",NA,"No Qualification","Female",68,"Australia","Anglican","Middle","Major City","90,001-100,000","2914"
"11","1017790","2019","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","No Difference","Liberal","Labor","Liberal","No Difference","Liberal","Liberal","Health","Superannuation",NA,"No Qualification","Female",71,"Australia","Anglican","None","Major City","90,001-100,000","2914"
"12","1023339","2016","Liberal","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Debt","Economy",NA,"Trade","Male",42,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2614"
"13","1023339","2019","Liberal","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Not Very Important","Quite Important","Extremely Important","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Liberal","Economy","Debt",NA,"Trade","Male",45,"Australia","Roman Catholic","Middle","Major City","100,001-110,000","2614"
"14","1027502","2019","Liberal","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Environment","Climate",NA,"Postgraduate","Female",48,"Australia","Anglican","Working","Major City","150,001-160,000","2604"
"15","1057519","2016","Greens","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Liberal","Labor","Environment","Education","Labor","Bachelor","Male",67,"Australia","No Religion","None","Major City","160,001-180,000","2226"
"16","1057519","2019","Labor","Not Very Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","No Difference","Labor","Climate","Education",NA,"Bachelor","Male",70,"Australia","No Religion","Middle","Major City","130,001-140,000","2226"
"17","1066261","2016","Labor","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Liberal","Liberal","Labor","Labor","Liberal","Labor","Labor","Liberal","Liberal","Labor","Refugees","Health",NA,"Trade","Male",81,"Australia","Methodist","Working","Large Town","35,001-40,000","2747"
"18","1079868","2016","Labor","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Labor","No Difference","Environment","Refugees","Labor","Postgraduate","Female",70,"Australia","No Religion","Middle","Major City","50,001-60,000","2226"
"19","1079868","2019","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Climate","Environment",NA,"Postgraduate","Female",73,"Australia","No Religion","Middle","Major City","30,001-35,000","2226"
"20","1081058","2016","Greens","Quite Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","No Difference","Labor","No Difference","Environment","Education","Coalition","No Qualification","Female",76,"Australia","Roman Catholic","Working","Major City","60,001-70,000","2120"
"21","1081058","2019","Greens","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Liberal","Labor","Labor","Labor","Labor","Liberal","Environment","Climate","Labor","Non-Trade","Female",79,"Australia","Roman Catholic","Working","Major City","35,001-40,000","2120"
