"","Respondent_ID_2016","year","vote_house","importance_taxation","importance_immigration","importance_education","importance_environment","importance_debt","importance_health","importance_refugees","importance_climate","importance_superannuation","importance_economy","party_taxation","party_immigration","party_education","party_environment","party_debt","party_health","party_refugees","party_climate","party_superannuation","party_economy","issue_importance","issue_importance2","qualifications","sex","age","birth_country","religion","social_class","living_status","annual_income","PCODE"
"1","1000407","2016","Labor","Quite Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","No Difference","Health","Education","Associate Diploma","Female",72,"Australia","No Religion","Middle","Major City","60,001-70,000","2607"
"2","1000407","2019","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Labor","Labor","Labor","Labor","No Difference","Labor","Labor","Labor","No Difference","No Difference","Refugees","Climate","Undergraduate","Female",75,"Australia","No Religion","Middle","Major City","45,001-50,000","2607"
"3","1003423","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","Labor","No Difference","No Difference","Labor","No Difference","No Difference","No Difference","Labor","Education","Taxation","Undergraduate","Male",66,"NESB","No Religion","Middle","Major City","60,001-70,000","2617"
"4","1006956","2016","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Not Very Important","Quite Important","Quite Important","Quite Important","Quite Important","Quite Important","Labor","No Difference","No Difference","Labor","No Difference","Labor","Labor","Labor","Labor","Labor","Superannuation","Immigration","Non-Trade","Male",47,"Australia","Roman Catholic","Middle","Major City","70,001-80,000","2602"
"5","1006956","2019","Labor","Quite Important","Quite Important","Quite Important","Quite Important","Extremely Important","Quite Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Labor","Labor","No Difference","No Difference","No Difference","Labor","Labor","Labor","Labor","Labor","Environment","Health","Non-Trade","Male",50,"Australia","Roman Catholic","Middle","Major City","90,001-100,000","2602"
"6","1008963","2019","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Labor","Climate","Environment","Bachelor","Female",49,"Australia","No Religion","Middle","Major City","160,001-180,000","2602"
"7","1017262","2019","Labor","Extremely Important","Quite Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","Labor","Labor","Labor","Labor","No Difference","Labor","No Difference","No Difference","Health","Climate","No Qualification","Female",37,"Australia","No Religion","Middle","Major City","140,001-150,000","2904"
"8","1017790","2016","Labor","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","No Difference","Economy","Climate","No Qualification","Female",68,"Australia","Anglican","Middle","Major City","90,001-100,000","2914"
"9","1017790","2019","Labor","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Extremely Important","Quite Important","Extremely Important","Extremely Important","Liberal","Liberal","Liberal","No Difference","Liberal","Labor","Liberal","No Difference","Liberal","Liberal","Health","Superannuation","No Qualification","Female",71,"Australia","Anglican","None","Major City","90,001-100,000","2914"
"10","1057519","2016","Labor","Quite Important","Quite Important","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Extremely Important","Extremely Important","Quite Important","Quite Important","Labor","No Difference","Labor","Labor","No Difference","Labor","No Difference","Labor","Liberal","Labor","Environment","Education","Bachelor","Male",67,"Australia","No Religion","None","Major City","160,001-180,000","2226"
